mainKey,name,metaScore,releaseDate,maturityRating,publisher,genre,userScore,platform,imgUrl
788e4f01ad3acab26fc1c8793b0fc4ee,Final Fantasy VI Advance,92,5-Feb-07,E10+,Nintendo,"Genre(s): Role-Playing, Console-style RPG",8.5,GBA,http://static.metacritic.com/images/products/games/4/851b036f01ceff4c3eb6f7ed3d3b6b68-53.jpg
788ee4c4dacf3d87910206ffc6463c86,Onimusha: Dawn of Dreams,81,7-Mar-06,M,Capcom,"Genre(s): Action Adventure, Fantasy",8.8,PS2,http://static.metacritic.com/images/products/games/6/484a53fde72c0da2a9aad00c2c0a5986-53.jpg
789472243ea1254442a2abc289880353,Celeste,94,26-Jan-18,E10+,Matt Makes Games Inc.,"Genre(s): Action, Platformer, 2D",6.3,XONE,http://static.metacritic.com/images/products/games/7/c2d4b3e49ee25930e854dcd662411520-53.jpg
789aad8d79ef50b234ce573dff03b06b,Cave Story 3D,82,8-Nov-11,E10+,NIS America,"Genre(s): Action, Platformer, 2D, Platformer, 2D",7.7,3DS,http://static.metacritic.com/images/products/games/9/d3935063b6ef9473ad5ff4a50b9febf9-53.jpg
78a163ab007c5629ea3dc55892f23685,Target: Terror,33,22-Apr-08,M,Konami,"Genre(s): Action, Shooter, Light Gun, Shooter, Light Gun",3,WII,http://static.metacritic.com/images/products/games/5/737b763392d18b91542682f5db5c6a29-53.jpg
78a5dc0b031f37033c94b66350baf7c7,Rollcage Stage II,85,10-Oct-00,E,Midway,"Genre(s): Driving, Racing, Futuristic",8.9,PS,http://static.metacritic.com/images/products/games/0/c6a314706c2878227b21ab2d65a6f03a-53.jpg
78ab76d05976d4a591f29951a6a6789c,Omerta: City of Gangsters,43,12-Feb-13,T,Kalypso,"Genre(s): Simulation, Strategy, General, General, General",3.5,X360,http://static.metacritic.com/images/products/games/2/b85b9c8d6d2b05b1cd2e4fb9571afe43-53.jpg
78ad357be39d41511573300ad5c70f8f,Yaiba: Ninja Gaiden Z,43,18-Mar-14,M,"Team Ninja, Tecmo Koei Games",,4.5,PS3,http://static.metacritic.com/images/products/games/0/1cefcb1ace80069de9dcadf66d05eefb-53.jpg
78b63f901698851b0dca5066cd9a3438,Sports Jam,64,18-Jul-01,E,Agetec Inc.,,-1,DC,http://static.metacritic.com/images/products/games/9/345a880aeda8de40c9b5660fe703949f-53.jpg
78c4a997c0d62ef0fec1bc45c98db708,Konami Classics Series: Arcade Hits,76,30-Mar-07,E10+,Konami,"Genre(s): Miscellaneous, Compilation, Compilation",-1,DS,http://static.metacritic.com/images/products/games/3/928dccfe3e3d6a9cb4ee67c031c2aa4d-53.jpg
78c643bcf0287d1e416276cf05e26797,NHL 2004,85,22-Sep-03,E,EA Sports,"Genre(s): Sports, Traditional, Ice Hockey, Sim",8.4,GC,http://static.metacritic.com/images/products/games/8/b3f3572f6c633dc9376d8dfefee36b5c-53.jpg
78cc79c57656e43405353e974a9675d3,Oni,73,28-Jan-01,T,Gathering,"Genre(s): Action, Beat-'Em-Up, 3D, Beat-'Em-Up",8.7,PC,http://static.metacritic.com/images/products/games/6/46ea0610dce1b075e606b425593a1af8-53.jpg
78d0c462d191320bbced9edc8e0e1314,Earth 2150: Lost Souls,67,9-Sep-02,T,Strategy First,"Genre(s): Strategy, Real-Time, Sci-Fi, Sci-Fi, General",7.8,PC,http://static.metacritic.com/images/products/games/4/bc507606b32ca33c1f1199914914b393-53.jpg
78d1cf1fe5e5e769a7c5653169a334e7,How to Train Your Dragon,58,23-Mar-10,E10+,Activision,"Genre(s): Action, General, General",7.6,X360,http://static.metacritic.com/images/products/games/3/e686399bfd72c8006d55790e6ab079fa-53.jpg
78d229b4fe042e9a175ac2104d2959be,Fate/Unlimited Codes,72,3-Sep-09,T,Capcom,"Genre(s): Action, Fighting, 3D, 3D, Fighting",7.8,PSP,http://static.metacritic.com/images/products/games/8/380f0df9cd6cd87270002ad055963caf-53.jpg
78d4016c78e8bc6033f3fb3f521ddfb9,Yakuza 5,83,8-Dec-15,M,Sega,"Genre(s): Action Adventure, Modern, Open-World",8.6,PS3,http://static.metacritic.com/images/products/games/9/d2610434c588164c67b565bbd8b076c7-53.jpg
78e04700db595986556d0508db3b089a,Disney's Magical Quest 3 Starring Mickey and Donald,58,14-Jun-05,E,Capcom,"Genre(s): Action, Platformer, 2D",-1,GBA,http://static.metacritic.com/images/products/games/2/c473a12d30739228064dea8534d0bbf4-53.jpg
78eb0d603ff9b2b6941ea36586a46b26,Spelunker Party!,65,19-Oct-17,E,Square Enix,,6.4,Switch,http://static.metacritic.com/images/products/games/3/4f0c89e72a26e6e1a5fea6dbfc4a35d7-53.jpg
78ed0c2fdc5a65e53104547d5c055373,Blood Bowl,61,26-Jan-10,T,Focus Home Interactive,"Genre(s): Sports, Football, Alternative, Other, Other, Arcade, Team, Individual",5,X360,http://static.metacritic.com/images/products/games/0/c9e3154a01fbf50d830d2148b9059041-53.jpg
78ee6db99c715f1d288251289f5128b5,Game & Wario,61,23-Jun-13,E,Nintendo,"Genre(s): Miscellaneous, Party, Party, Party / Minigame",6.5,WIIU,http://static.metacritic.com/images/products/games/8/765128550b7e85f601fc32e1d04dc01b-53.jpg
78ef9f653be24d9102b6ba6fe3900290,Nancy Drew: The White Wolf of Icicle Creek,73,7-Jun-07,E,Her Interactive,"Genre(s): Adventure, General, General, Point-and-Click",6.4,PC,http://static.metacritic.com/images/products/games/5/727ebfcc8235fc6bca2b04695683c119-53.jpg
78f114827edb9d2100bd9b80ab5271a4,FIFA Street 2,59,28-Feb-06,E,EA Sports Big,"Genre(s): Sports, Traditional, Soccer, Arcade",7.8,PS2,http://static.metacritic.com/images/products/games/0/743cf0129f9d9ef53b913ea33e69e073-53.jpg
78f655f94821ee1a8e7a5f2ec1ec5ec0,Hydro Thunder Hurricane,75,28-Jul-10,E,Microsoft Game Studios,"Genre(s): Driving, Racing, Snow / Water, Other, Arcade, Snow / Water",8.3,X360,http://static.metacritic.com/images/products/games/1/3426d3b19b07a19692b00f1df5db28c0-53.jpg
78f7841cfad19b0406d55d6a7718ba4c,Madden NFL 06,66,8-Aug-05,E,EA Sports,"Genre(s): Sports, Traditional, Football, Sim, Sim, Team",6.3,DS,http://static.metacritic.com/images/products/games/0/a9c87ee93b46e6e5b1ebd8952b262235-53.jpg
78fa181cb08db7942c815ca471b51651,You Don't Know Jack: 5th Dementia,77,31-Oct-00,T,Sierra Entertainment,"Genre(s): Miscellaneous, Trivia / Game Show, Trivia / Game Show",8,PC,http://static.metacritic.com/images/products/games/7/a025e3e8e3fd0d38e3bea76e8c41ff6f-53.jpg
78fb2a7702f1a9ec2db82a8d59a6192f,Highland Warriors,58,20-Jan-03,T,Data Becker,"Genre(s): Strategy, Real-Time, Historic, General, Historic, Command",6,PC,http://static.metacritic.com/images/products/games/1/6b53e1d88ee8e2baf1cda75ba9a2c9e7-53.jpg
78fbbae752aaa0062aea4ba918599d2b,All-Star Baseball 2004,80,23-Feb-03,E,Acclaim,"Genre(s): Sports, Traditional, Baseball, Sim",8.2,GC,http://static.metacritic.com/images/products/games/1/e8f799c23adbabd9752cee11c95ffe5e-53.jpg
7901b0250ebe17d5887e3cc574d57374,Stoked: Big Air Edition,72,23-Nov-09,T,Destineer,"Genre(s): Sports, Alternative, Snowboarding, Snowboarding, Individual, Ski / Snowboard",7.7,X360,http://static.metacritic.com/images/products/games/4/7e32edd2a29210899a2919f8056b81e1-53.jpg
791323ff3c0a805102adf870bb2d09ee,Kirby 64: The Crystal Shards,77,26-Jun-00,E,Nintendo,"Genre(s): Action, Platformer, 3D",8.3,N64,http://static.metacritic.com/images/products/games/53w-game.jpg
7914ed62e2d9cad7c142de23ac8d1801,101-in-1 Sports Party Megamix,41,13-Jan-11,E10+,Atlus,"Genre(s): Sports, General, General",-1,WII,http://static.metacritic.com/images/products/games/1/bb2ba6b1cccd222025c730ab3444d385-53.jpg
791b9c226c1e7e5cbd4778cd120bade9,Lightning Returns: Final Fantasy XIII,66,11-Feb-14,T,Square Enix,"Genre(s): Role-Playing, General, General, Japanese-Style",6,PS3,http://static.metacritic.com/images/products/games/9/37a49a44770cf85304316eb75e5404c8-53.jpg
